qtrCount,year,quarter,number
1,1949,Q1,362
2,1949,Q2,385
3,1949,Q3,432
4,1949,Q4,341
5,1950,Q1,382
6,1950,Q2,409
7,1950,Q3,498
8,1950,Q4,387
9,1951,Q1,473
10,1951,Q2,513
11,1951,Q3,582
12,1951,Q4,474
13,1952,Q1,544
14,1952,Q2,582
15,1952,Q3,681
16,1952,Q4,557
17,1953,Q1,628
18,1953,Q2,707
19,1953,Q3,773
20,1953,Q4,592
21,1954,Q1,627
22,1954,Q2,725
23,1954,Q3,854
24,1954,Q4,661
25,1955,Q1,742
26,1955,Q2,854
27,1955,Q3,1023
28,1955,Q4,789
29,1956,Q1,878
30,1956,Q2,1005
31,1956,Q3,1173
32,1956,Q4,883
33,1957,Q1,972
34,1957,Q2,1125
35,1957,Q3,1336
36,1957,Q4,988
37,1958,Q1,1020
38,1958,Q2,1146
39,1958,Q3,1400
40,1958,Q4,1006
41,1959,Q1,1108
42,1959,Q2,1288
43,1959,Q3,1570
44,1959,Q4,1174
45,1960,Q1,1227
46,1960,Q2,1468
47,1960,Q3,1736
48,1960,Q4,1283
